channel_id,year,video_count
UC1s5T_9sfGrRxHJhjEceVSg,2023,77
UC1s5T_9sfGrRxHJhjEceVSg,2024,2
UC1xmO5jVjOCeo02XCpq4WFA,2020,9
UC1xmO5jVjOCeo02XCpq4WFA,2021,14
UC1xmO5jVjOCeo02XCpq4WFA,2022,15
UC1xmO5jVjOCeo02XCpq4WFA,2023,27
UC1xmO5jVjOCeo02XCpq4WFA,2024,17
UC1xmO5jVjOCeo02XCpq4WFA,2025,29
UC1xmO5jVjOCeo02XCpq4WFA,2026,2
UC1ypugJJiDakFeDlxQO2Tew,2022,145
UC1ypugJJiDakFeDlxQO2Tew,2023,187
UC1ypugJJiDakFeDlxQO2Tew,2024,37
UC1ypugJJiDakFeDlxQO2Tew,2025,39
UC1ypugJJiDakFeDlxQO2Tew,2026,111
UC2109-BUhq7iEs9k9PlCzsw,2020,15
UC2109-BUhq7iEs9k9PlCzsw,2021,142
UC2109-BUhq7iEs9k9PlCzsw,2022,94
UC2109-BUhq7iEs9k9PlCzsw,2023,81
UC2109-BUhq7iEs9k9PlCzsw,2024,59
UC2109-BUhq7iEs9k9PlCzsw,2025,59
UC2109-BUhq7iEs9k9PlCzsw,2026,38
UC238YXwPe4b4T57pFWioIfA,2021,1
UC238YXwPe4b4T57pFWioIfA,2022,137
UC238YXwPe4b4T57pFWioIfA,2023,93
UC238YXwPe4b4T57pFWioIfA,2024,101
UC238YXwPe4b4T57pFWioIfA,2025,115
UC25e5qEqvVaG_VKrkTmJBmw,2024,131
UC25e5qEqvVaG_VKrkTmJBmw,2025,369
UC25e5qEqvVaG_VKrkTmJBmw,2026,200
UC2AmIPun8jDuz1ksnxQTtcw,2025,218
UC2AmIPun8jDuz1ksnxQTtcw,2026,208
UC2IZur8-GAsn7gHQNTNOOgQ,2024,10
UC2IZur8-GAsn7gHQNTNOOgQ,2025,44
UC2IZur8-GAsn7gHQNTNOOgQ,2026,8
UC2eai5waelgobAHgp20DEYg,2024,254
UC2eai5waelgobAHgp20DEYg,2025,285
UC2eai5waelgobAHgp20DEYg,2026,161
UC2erQwP2foSQARjw5zUbrnQ,2024,41
UC2erQwP2foSQARjw5zUbrnQ,2025,157
UC2erQwP2foSQARjw5zUbrnQ,2026,91
UC2iD3jxz5srvHoV7gXtBYvQ,2021,226
UC2iD3jxz5srvHoV7gXtBYvQ,2022,98
UC2iD3jxz5srvHoV7gXtBYvQ,2023,9
UC2iD3jxz5srvHoV7gXtBYvQ,2024,2
UC2iD3jxz5srvHoV7gXtBYvQ,2025,3
UC2kjsGpKTwnFKZLLTUkK4Gw,2025,38
UC2kjsGpKTwnFKZLLTUkK4Gw,2026,40
UC2mSWpVqjjQ7G7gEIfQ7p9w,2024,84
UC2mSWpVqjjQ7G7gEIfQ7p9w,2025,121
UC2mSWpVqjjQ7G7gEIfQ7p9w,2026,137
UC2mkbeIUVeIZeV7E2_dNCSg,2024,67
UC2mkbeIUVeIZeV7E2_dNCSg,2025,114
UC2mkbeIUVeIZeV7E2_dNCSg,2026,3
UC2q-fPPrsyKOjRpmm--vzPQ,2024,1
UC2q-fPPrsyKOjRpmm--vzPQ,2026,42
UC2sAw3h-IzU3JOtvXVzTjxw,2024,31
UC2sAw3h-IzU3JOtvXVzTjxw,2025,84
UC2sAw3h-IzU3JOtvXVzTjxw,2026,45
UC2uv9lpMiz72v_qPVFDSZmA,2025,25
UC2uv9lpMiz72v_qPVFDSZmA,2026,51
UC2z7pz25bgnqLHdTd7EvVoQ,2025,133
UC2z7pz25bgnqLHdTd7EvVoQ,2026,96
UC31Hn_T44_qvI_yTY-BFbPw,2021,117
UC31Hn_T44_qvI_yTY-BFbPw,2022,223
UC31Hn_T44_qvI_yTY-BFbPw,2023,204
UC31Hn_T44_qvI_yTY-BFbPw,2024,59
UC31Hn_T44_qvI_yTY-BFbPw,2025,17
UC31Hn_T44_qvI_yTY-BFbPw,2026,8
UC31u9DPv_zbrasL8FTH7K5g,2020,1
UC31u9DPv_zbrasL8FTH7K5g,2021,69
UC31u9DPv_zbrasL8FTH7K5g,2022,131
UC31u9DPv_zbrasL8FTH7K5g,2023,146
UC31u9DPv_zbrasL8FTH7K5g,2024,108
UC31u9DPv_zbrasL8FTH7K5g,2025,83
UC31u9DPv_zbrasL8FTH7K5g,2026,32
UC32lsx7u7vqy63SguuuzmVg,2024,49
UC32lsx7u7vqy63SguuuzmVg,2025,79
UC33VkaWtUAg84eE1BfScpZg,2020,1
UC33VkaWtUAg84eE1BfScpZg,2021,3
UC33VkaWtUAg84eE1BfScpZg,2022,1
UC33VkaWtUAg84eE1BfScpZg,2023,1
UC33VkaWtUAg84eE1BfScpZg,2024,14
UC33VkaWtUAg84eE1BfScpZg,2025,31
