channel_id,name,tier_at_selection,subscriber_count_at_selection,lifecycle_status,agency,selection_reason,selected_at
UCWM76ZPAZqDNOAp5AKn9uIw,JueBigHead,A,84700,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCvob8U-yjPS-fSf5bq7jvGw,Umino Ciala Ch. Pixela Legends,A,83900,active,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC25e5qEqvVaG_VKrkTmJBmw,Lucene Ch.,A,83200,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC3O5wAgEVyNA1Jw3gyi-_jA,MOLLY,A,80500,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCJcfB-86rWM0NF2li1CqNNw,NutsuruSama,A,79400,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCaCZ78DoDsPxejb_azg1hog,ITsMeYao,A,77600,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCL7lolCifod5V21pPzR3K-w,Magnum Ch.【ARP】,A,77500,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCpNkVsMlsJRF792H-1_1vPA,Melita X Ch. Pixela Project,A,75900,hiatus,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCMUtWzsjAQJgp6UlkbVSo1w,Laguna JuJu Ch. Pixela Project,A,75800,hiatus,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCEMqL-RYgeAEhTMUJeHfkaw,Toru Kumaトルくま,A,75400,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCatSdbBdnsXgFpCyhJ7jYGg,Darin V,A,74900,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCcRaKGCG3RFenb8D2php_Jw,Pixela Official,A,74400,unknown,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCY3reV-jwagniwcghy1B4VA,Nicca Ch.,A,74100,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCmg0gZHGn-zuq1JnYPB_EjQ,TEENIE | WISLIVE,A,74000,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCbeaB9MoD9IyXqBshyQuNRQ,Nerumi-s,A,73800,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCxsvotVZGKCimeSlzK9bSzA,deksammy,A,73400,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCx1g_QQFax29m6z1UXLTI3g,Fiatake,A,72700,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCGc2qf0Pkl7RyvqTyyP_o9w,MiYuu43 ch. みゆ,A,72200,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCTRQ7X-nxix3gjjXUb6ylvA,Ginnique Ch.【ARP】,A,70500,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCfiD6DpIwPP4lQ4NPqZNOHg,Solar Ch.【ARP】,A,70400,active,Algorhythm Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCikyhPyuEu3rn1izGOGxZcg,Aranis Elvene Ch. Pixela-Isekai,A,70400,active,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCUaWCz3UX9XNdA97qPHuAYg,MamiMumei,A,70200,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCx5NsY_dUUU2NHK2P8u10xQ,Ngerntong-เงินทอง,A,69400,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCC5q6CpuDflPvO7pNn52RGQ,Lapine Ch.,A,69300,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCNDYUXSVC7ffBAGEktilzUQ,Hanami Lay CH.,A,69200,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC1W2400L97Bwe2leu7eXEzA,Khaojao,A,66800,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCjr1VnM1LBRp9Ez2JGNndaA,Aosora Popo Ch.,A,66200,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCxfx5BudsoFOV-TLl0RdFNw,ChaoPlaThong,A,65900,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCTD-nm97tb5Sh7_ou7LFSUQ,Euthalia Zéphyr Ch. Pixela Destiny,A,64600,hiatus,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UC6kddWCoJL4IneTbHRFnViQ,Shin Inbox,A,64000,hiatus,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCkEcY4RbLYs2AF45nhkyjtw,Jolly Estaa Ch. Pixela-Isekai,A,63600,active,Pixela Project,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
UCGtjAVYcncs1AJ5hQY0gASQ,KAMAI,A,63200,active,Independent,Tier A (>=50k subscribers),2026-09-07T18:09:48.704697+00:00
